PDB1,PDB2,c_RMSD
1a14,5vf6,33.474775933704585
1a14,5lxg,25.260353543034924
1a14,5vf2,37.471526626783955
1a14,5ogi,56.80137372299533
1a14,5xcq,21.440069528670037
1a14,5wym,28.44291697594978
1a14,5xcr,22.451936554909906
1a14,5wn9,33.674132755119835
1a14,5xcs,30.338696301610575
1a14,5xct,39.85694994075351
1a14,5xcu,33.128538535444875
1a14,5xcx,36.09164418229335
1a14,5xcv,36.160920124854606
1a14,5xwd,41.88815629162689
1a14,6a78,20.415173619571725
1a14,5yy4,34.50604589487407
1a14,5yd4,33.18059946382233
1a14,5yd5,26.051084525991598
1a14,5yd3,33.13268565387057
1a14,6a79,20.434066377133004
1a14,6ba5,33.16689851346506
1a14,6ban,22.959281750946996
1a14,6cbp,32.21138677722502
1a14,6cf2,22.400319832819456
1a14,6crk,37.772176551368744
1a14,6ehw,39.41203802000609
1a14,6cvk,46.87010330610823
1a14,6dsi,27.079877414519846
1a14,6ehx,30.212736481797638
1a14,6ehv,37.51424176423206
1a14,6ejg,34.43706010035587
1a14,6ehy,32.190367712238434
1a14,6ejm,26.293651418377998
1a14,6ek2,26.71279601528977
1a14,6frj,19.994191311825055
1a14,6fzr,20.147992936942533
1a14,6fzq,20.02369880803108
1a14,6ffj,24.10114374719795
1a14,6g8r,37.10554817743184
1a14,6h3t,25.220132824665274
1a14,6j14,33.0627177707601
1a14,6ivz,33.34542076937477
1a14,6j9o,29.678063407605475
1a14,6j5d,22.322659674827985
1a14,6j5f,22.4075854097268
1a14,6i07,32.65208106553241
1a14,6k65,29.118315359619604
1a14,6k4z,16.96148584818734
1a14,6kr0,40.58150232810902
1a14,6iw2,53.640958570986655
1a14,6ks1,33.38491090956909
1a14,6j71,45.41585716471047
1a14,6ks0,26.079228750658405
1a14,6kyz,33.175308219723256
1a14,6lcs,30.90362597812427
1a14,6lfv,37.91496302538915
1a14,6kz0,22.221187034615287
1a14,6lfw,23.00488283034701
1a14,6lfx,36.140342460957264
1a14,6lz4,35.82444450928677
1a14,6lgw,44.032456184026756
1a14,6ol7,21.49977098834434
1a14,6p79,32.152137322203686
1a14,6pcu,34.336282509115954
1a14,6oan,29.043032819133476
1a14,6osh,14.782057025783324
1a14,6osv,29.325162262225305
1a14,6pil,26.833345342697328
1a14,6pk8,24.532888608335075
1a14,6qf6,24.917134093344142
1a14,6qb9,34.5939893785149
1a14,6qb4,37.55574343064765
1a14,6qb3,37.43851717489744
1a14,6qfc,37.342424239541394
1a14,6tgg,20.000155463531083
1a14,6qf9,40.18059487963835
1a14,6tou,35.257679306386095
1a14,6uup,24.6218878282837
1a14,6tnp,19.746247811211706
1a14,6uy3,24.290054186571737
1a14,6vep,36.048023527164005
1a14,6vrp,24.794546666746164
1a14,6vun,52.170623199216266
1a14,6vup,31.80438722149949
1a14,6y6c,25.039291758327277
1a14,6vuo,32.55997753169183
1a14,6vug,42.78644933475196
1a14,6wzn,28.927958919775264
1a14,7a3o,37.42337819112885
1a14,6yx9,33.654304919537644
1a14,6yxd,33.289991870853534
1a14,7cea,34.69793877900695
1a14,7aql,41.60409177032548
1a14,7a3q,43.29668553939375
1a14,7eq3,20.99726822767865
1a14,7ceb,36.70348188489626
1a14,7jtr,28.020399534490465
1a14,7jum,39.57008844718698
1a14,7df1,35.44564121193703
1a14,7kbm,30.4685359292154
1a14,7kbo,32.55275445494415
1a14,7km6,41.866342407411715
1a14,7k93,26.512905138567145
1a14,7kd6,36.97221554466599
1a14,7pa6,44.5479808055374
1a14,7rk2,38.72148157750275
1a14,7rk1,33.24954345005749
1a14,7pa7,35.34240071784331
1a14,7u9e,37.53097683923006
1a14,7u9w,30.2824600602694
1a14,7ua2,39.13669393278766
1a14,7ua8,27.073829235257655
1a14,7tzh,27.297217668204976
1a14,7ubs,30.663546357520723
1a14,7uc8,26.08268517586214
1a14,7ucq,25.61845884892725
1a14,7url,36.12715241588676
1a14,7ufw,27.707275818904115
1a14,7w7q,41.542381572273676
1a14,7vyt,29.875626384377448
1a14,8axh,14.061712845564553
1a14,7zwf,30.45045683047324
1a14,8dy0,24.165031489556736
1a14,8cge,36.619113509672204
1a14,7wvg,50.01707591521575
1a14,8dgr,24.789548308244935
1a14,8dzv,40.09147873319484
1a14,8dy2,23.32170271323018
1a14,8dy3,37.11531291777163
1a14,8dy4,23.3056331371865
1a14,8dy1,38.766048677785264
1a14,8dy5,38.87454705739679
1a14,8ek5,34.03712351853386
1a14,8ezk,32.02311107505278
1a14,8gho,24.465069197156506
1a14,8ezl,30.04288703631595
1a14,8ia6,29.338053248195465
1a14,8h3b,33.25278167474707
1a14,8ezm,30.468401391719627
1a14,8hyl,35.00442946908197
1a14,8h73,37.65529184294269
1a14,8gv7,50.021525237335275
1a14,8i5l,27.368785052936403
1a14,8iqq,24.63508629578652
1a14,8iqp,23.377545373176094
1a14,8jow,24.757653175680886
1a14,8jyq,25.511078665650718
1a14,8iqs,36.56876577483204
1a14,8iqr,31.685448743349045
1a14,8pmz,29.918110018000007
1a14,8pww,34.92641453274285
1a14,8pwv,30.496249298926923
1a14,8rpe,26.007447895223162
1a14,8r4o,42.08094810844617
1a14,8rz0,26.283521298048285
1a14,8r4u,35.06082562569219
1a14,8rz1,25.770518483968157
1a14,8s4h,22.942904197279876
1a14,8r4q,41.34988264500303
1a14,8v8f,25.379451873328534
1a14,8soz,28.340444683746803
1a14,8sow,27.39189494689972
1a14,8vrr,26.548284833893156
1a14,8wfh,35.53173138954311
1a14,8vrs,23.437616321374552
1a14,8ytp,26.718125048600417
1a14,8ytn,35.241260477949076
1a14,8yj7,49.51449691225516
1a14,8wfm,26.554557549967658
1a14,8yto,28.015242289192773
1a14,8wsq,34.90619467855754
1a14,8zd5,39.74296888354223
1a14,9cn2,34.639353286068456
1a14,9d7y,41.72801126423482
1a14,9g6q,22.358691662539297
1a14,9h4r,31.746057492753295
1a14,9h4s,31.3383164434535
1a14,8zpu,33.03238073084853
1a14,9hy1,23.536098433605787
1a14,9hy2,23.850099770413337
1a2y,1a6w,16.664650027845017
1a2y,1a6u,16.287378919650575
1a14,9hy3,23.752644733547346
1a14,9iut,37.79315761414902
1a14,9kat,30.894193646479064
1a2y,1a7n,16.005144097743326
1a2y,1a6v,18.68896518170799
1a2y,1a7o,15.94845760076312
1a2y,1a7p,15.958542221398423
1a14,9hy5,29.89989570041794
1a14,9kep,24.602586157589535
1a2y,1ap2,21.912297945343237
1a2y,1a7r,16.011376267218505
1a2y,1bfv,17.77242843157421
1a2y,1bvk,18.037596585777944
1a2y,1a7q,16.140428240216526
1a2y,1bvl,20.075850682810046
1a2y,1ar1,20.09884463933518
1a2y,1c08,22.15817309250554
1a2y,1dl7,19.793219113256477
1a2y,1cfv,17.785374174148835
1a2y,1dzb,9.30547307332046
1a2y,1dlf,17.793040069265544
1a2y,1dvf,18.101575789001583
1a2y,1dsf,18.40089830671802
1a2y,1ezv,21.138969440633375
1a2y,1dql,16.756184089959813
1a2y,1g7h,0.6807844697895411
1a2y,1fgv,20.533398188981728
1a2y,1g7i,0.6401491214264265
1a2y,1g7j,0.5505630012943455
1a2y,1i3g,20.77322462695736
1a2y,1g7m,0.48709859814581247
1a2y,1h8n,16.599209452482356
1a2y,1g7l,0.4763751266713197
1a2y,1i8i,16.155017382233776
1a2y,1h8o,16.779198829970497
1a2y,1i8k,16.098368414903838
1a2y,1h8s,16.68735270194617
1a2y,1ic5,22.271033728683694
1a2y,1igm,21.49088871761106
1a2y,1j05,18.303344662051988
1a2y,1ic7,22.14718568871823
1a2y,1ic4,22.144483819332642
1a2y,1j1p,22.104008560119603
1a2y,1j1o,22.059499105343555
1a2y,1j1x,22.085833351150107
1a2y,1jp5,18.292552397359625
1a2y,1kir,0.592862799153595
1a2y,1jhl,21.39537243892891
1a2y,1jv5,15.768841355514265
1a2y,1kip,0.6023637905860044
1a2y,1kiq,0.5535792071557346
1a2y,1kb9,21.15913379445001
1a2y,1ktr,20.532141027969068
1a2y,1kyo,38.35305647185956
1a2y,1lmk,16.851392565821843
1a2y,1mfa,18.560557371330596
1a2y,1moe,20.40211150677606
1a2y,1mqk,17.803276958709198
1a2y,1nmb,23.83989042829689
1a2y,1n4x,16.920915649772706
1a2y,1mvu,19.09065911511976
1a2y,1nma,24.029889168719635
1a2y,1nmc,25.326145800831515
1a2y,1oaq,16.066780912014888
1a2y,1oay,27.738838242868724
1a2y,1ocw,17.402264839078082
1a2y,1oau,25.408249909659137
1a2y,1oar,21.464418170581446
1a2y,1nqb,18.01892472347048
1a2y,1oaz,19.93450141395937
1a2y,1oax,24.054926862052625
1a2y,1p4i,13.612843523719455
1a2y,1p4b,21.817413989654955
1a2y,1p84,21.197613565734617
1a2y,1vfb,0.4893680692666366
1a2y,1ua6,22.323490013907442
1a2y,1qok,19.11150825618523
1a2y,1svz,18.39035957661893
1a2y,1wz1,17.879383904046378
1a2y,1vfa,17.577519420673582
1a2y,1qle,21.44907603620923
1a2y,1uac,20.27204866360168
1a2y,1wt5,17.26634724337701
1a2y,1x9q,17.150285329590883
1a2y,2ap2,21.7434278795017
1a2y,2bjm,17.269275684776392
1a2y,2a9n,19.841805582606852
1a2y,2a9m,17.643711459312012
1a2y,1xiw,18.0956039214203
1a2y,2bfv,16.13003690654832
1a2y,2dqc,22.097416190232146
1a2y,2d7t,16.06886246089926
1a2y,2cju,19.786570318059166
1a2y,2dqf,11.304559262398772
1a2y,2dqe,22.11446733044838
1a2y,2dlf,17.45717301486843
1a2y,2dqd,22.15367339938471
1a2y,2dqg,22.132470535798415
1a2y,2dqh,22.101727738267737
1a2y,2dqj,22.123450712068173
1a2y,2e27,17.90735198454861
1a2y,2eiz,1.523302513281408
1a2y,2gki,16.627190641718308
1a2y,2dqi,22.28760311996248
1a2y,2gjj,17.58525385927798
1a2y,2eks,16.69117461239588
1a2y,2gsg,22.02543580932
1a2y,2uzi,15.679291826357243
1a2y,2vh5,15.66630869460153
1a2y,2uud,28.272181608759087
1a2y,2ibz,21.157995263224166
1a2y,2otu,18.651889305130403
1a2y,2otw,17.661502012106258
1a2y,2xtj,37.9843936143073
1a2y,2ybr,21.90542947507355
1a2y,2yc1,20.26008171833776
1a2y,2znx,21.200275219691488
1a2y,2yss,12.284145055415504
1a2y,3auv,17.706723428838405
1a2y,2znw,21.421132253388997
1a2y,3a67,22.12237234433527
1a2y,3a6c,22.0495447791764
1a2y,3a6b,21.96566627257509
1a2y,3cx5,38.289020946694706
1a2y,3dv4,16.640293670888003
1a2y,3dur,18.898416386506046
1a2y,3dus,16.974117865352582
1a2y,3duu,17.316833738959446
1a2y,3esv,16.35210699281638
1a2y,3cxh,37.91355484083944
1a2y,3dv6,16.92246189566693
1a2y,3esu,19.392099821715693
1a2y,3ehb,20.681150089452384
1a2y,3gm0,20.003638416170705
1a2y,3et9,19.326820277966398
1a2y,3h3p,24.758726525560824
1a2y,3gkz,20.281632501984564
1a2y,3h3b,20.859284524939756
1a2y,3hb3,20.685399922720773
1a2y,3juy,16.81855296155636
1a2y,3lh2,19.97925675369524
1a2y,3uyp,18.526018827140348
1a2y,3umt,19.467703421712034
1a2y,3u6r,15.249580076517319
1a2y,3lhp,30.689611720391422
1a2y,3uzv,20.331605217942574
1a2y,3ux9,18.67394925550565
1a2y,3uze,15.812237430287302
1a2y,3wbd,19.01920560267986
1a2y,3uzq,17.049116671557826
1a2y,43c9,19.700602084920526
1a2y,4gqp,18.041119891044932
1a2y,4ffy,18.419962860527676
1a2y,43ca,19.66760667497889
1a2y,4h0h,18.623373016680812
1a2y,4buh,22.26256683331213
1a2y,4h0i,17.251336528126437
1a2y,4las,18.579741661749537
1a2y,4laq,20.382137455365193
1a2y,4lar,18.131279906400273
1a2y,4h0g,16.412472748728884
1a2y,4lci,21.38041380045242
1a2y,4lrn,18.168247354888365
1a2y,4llv,20.150542934359702
1a2y,4m8q,25.38805443419038
1a2y,4m62,19.798041783682315
1a2y,4nik,16.862838514481524
1a2y,4ob5,18.127061848723944
1a2y,4ouo,21.212686161399642
1a2y,4p49,15.33200604678822
1a2y,4qy8,18.2920301948088
1a2y,4rzc,21.25782382643644
1a2y,4ut7,17.476245624054307
1a2y,4r3s,19.632446560133445
1a2y,4p48,19.652648191251902
1a2y,4qyo,18.135269837714763
1a2y,4uu9,17.085196570096915
1a2y,4qxt,16.855446594519485
1a2y,4rav,16.539654036013545
1a2y,4y5v,18.749471026793827
1a2y,4y5y,24.339305136648836
1a2y,4yqx,23.970878945530576
1a2y,4xvj,17.37061623157349
1a2y,4yjz,26.73680637195281
1a2y,4z0x,23.100720982152783
1a2y,5a2i,17.085424940003513
1a2y,5a2k,16.9694104822453
1a2y,5a2j,19.684014134531104
1a2y,5a2l,19.528720059194267
1a2y,5ayu,16.215378876816345
1a2y,5b3n,22.194042815436198
1a2y,5aam,20.960998990335284
1a2y,5c2b,21.177647397300785
1a2y,5dfw,17.639787300941624
1a2y,5cbe,21.680518660480644
1a2y,5fcs,18.466147616939693
1a2y,5f72,18.394334211295547
1a2y,5c6w,16.852074532583707
1a2y,5cba,25.724684729723702
1a2y,5dhx,20.31333827781029
1a2y,5dhv,27.00071612526374
1a2y,5fxc,17.113253109303983
1a2y,5grv,17.50466856825098
1a2y,5gru,19.926859572494337
1a2y,5grw,17.96400711927023
1a2y,5grx,19.80014872584598
1a2y,5gry,18.82028686944186
1a2y,5grz,16.81850047140901
1a2y,5j74,19.07520192196016
1a2y,5jym,23.69724586987664
1a2y,5kve,17.37535344988934
1a2y,5gs3,17.542085896228205
1a2y,5jyl,16.66237283609575
1a2y,5i4f,18.311053311004976
1a2y,5j75,18.809379174106827
1a2y,5lx9,18.611978740427123
1a2y,5lxa,18.561637831533275
1a2y,5npi,16.62236450501314
1a2y,5lxg,20.938233981274532
1a2y,5n7b,19.98217630558558
1a2y,5gs1,28.960464118522502
1a2y,5lwy,20.496679970565772
1a2y,5npj,16.601695917041578
1a2y,5lbs,28.89415968536561
1a2y,5owp,16.49505471835657
1a2y,5tbd,17.212203512674158
1a2y,5vf6,16.681133365857978
1a2y,5ogi,29.674451294435514
1a2y,5vf2,18.251787483660397
1a2y,5wym,19.086239209416828
1a2y,5wn9,16.44842695946043
1a2y,5xcs,22.7166872739729
1a2y,5xct,21.677161567610092
1a2y,5xcq,20.662637053335263
1a2y,5xcu,23.47917505079969
1a2y,5xcr,18.95445541396155
1a2y,5xcx,19.834601862175077
1a2y,5xcv,19.301926465078598
1a2y,5xwd,31.02024992347651
1a2y,5yd5,19.54162084203722
1a2y,5yd3,18.550050791569234
1a2y,5yd4,18.54973753150111
1a2y,5yy4,17.027057759874783
1a2y,6a78,16.626866395340926
1a2y,6a79,16.65508150044635
1a2y,6ba5,17.9324288482877
1a2y,6cf2,20.986769831953946
1a2y,6dsi,20.495050068613487
1a2y,6ehv,17.16940158431157
1a2y,6ehy,16.007007857984963
1a2y,6ban,15.729109259478095
1a2y,6crk,22.624032399156295
1a2y,6ehx,21.49111764016403
1a2y,6ejg,17.845000708516864
1a2y,6cbp,18.241655172747315
1a2y,6ehw,17.680506463847504
1a2y,6ejm,18.36984989528151
1a2y,6cvk,17.768879297039756
1a2y,6ek2,16.664580934882157
1a2y,6ffj,18.27829979194647
1a2y,6frj,16.477900444657973
1a2y,6fzq,16.385922267384842
1a2y,6fzr,20.00617292252367
1a2y,6ivz,21.248373810937064
1a2y,6i07,30.590456175133465
1a2y,6g8r,18.012571438408415
1a2y,6h3t,18.453138745098247
1a2y,6j14,23.26390729604583
1a2y,6k65,17.944004506065067
1a2y,6k4z,17.08396916241961
1a2y,6j5d,16.035643976728217
1a2y,6j5f,16.019222152697356
1a2y,6ks1,20.486981512609933
1a2y,6j9o,23.897494591081507
1a2y,6j71,23.327999642872747
1a2y,6iw2,19.57036666711354
1a2y,6ks0,20.966679677115092
1a2y,6kr0,16.63800839469597
1a2y,6lcs,22.253153550297775
1a2y,6kyz,16.056974181379292
1a2y,6lfv,16.572445790096246
1a2y,6kz0,19.860107100027328
1a2y,6lfw,17.29874655804497
1a2y,6lfx,19.480081402162615
1a2y,6lz4,22.51349174234289
1a2y,6lgw,40.793771597394624
1a2y,6oan,14.09254190339196
1a2y,6osh,15.735882916640985
1a2y,6ol7,24.431254832804903
1a2y,6osv,17.699292669476055
1a2y,6qf6,21.633424988374248
1a2y,6qf9,17.732465101047563
1a2y,6p79,18.36871329515477
1a2y,6qfc,16.78684717978721
1a2y,6pk8,18.245617095080327
1a2y,6qb4,16.917472905042825
1a2y,6pil,20.248424741270956
1a2y,6qb9,18.88530159526848
1a2y,6pcu,20.24311804834074
1a2y,6qb3,16.796136484110963
1a2y,6tgg,16.453835980647515
1a2y,6tou,19.579401064032314
1a2y,6uup,17.075617178461407
1a2y,6tnp,19.614649117730224
1a2y,6uy3,16.73738258958553
1a2y,6vrp,23.23618671590777
1a2y,6vun,16.274371456857356
1a2y,6vug,21.301010219203807
1a2y,6vep,21.36409490800303
1a2y,6vuo,23.420235760513123
1a2y,6vup,23.8879667508028
1a2y,6wzn,20.84057621063629
1a2y,6y6c,19.489536668612995
1a2y,7a3o,23.653006851081617
1a2y,6yx9,19.691805514326088
1a2y,7cea,18.306319701007027
1a2y,6yxd,20.410249442717333
1a2y,7a3q,27.536660236949135
1a2y,7aql,19.6028435063696
1a2y,7ceb,16.935463279633577
1a2y,7eq3,22.807918777305076
1a2y,7df1,21.66613880964383
1a2y,7jtr,25.61198211501146
1a2y,7kbm,24.27402416562192
1a2y,7jum,21.68150701049855
1a2y,7kbo,23.07547501706937
1a2y,7k93,18.83725105719427
1a2y,7kd6,21.463796913755335
1a2y,7km6,21.193816912528796
1a2y,7rk1,18.845029221382195
1a2y,7pa6,40.080731121060666
1a2y,7u9w,16.82384219652848
1a2y,7tzh,22.696317572521448
1a2y,7pa7,28.15819017671449
1a2y,7rk2,18.183892350697523
1a2y,7ubs,16.808169269563766
1a2y,7ua2,18.019703848500644
1a2y,7uc8,23.048363612898225
1a2y,7u9e,20.55952101348396
1a2y,7ucq,16.925496492403163
1a2y,7ua8,16.988435596043864
1a2y,7ufw,16.19304938607769
1a2y,7url,18.7291287174556
1a2y,7vyt,22.42384585683435
1a2y,7zwf,16.681293714447722
1a2y,8dy3,18.462461443932565
1a2y,7w7q,19.859520895446643
1a2y,8axh,16.95175892297638
1a2y,8dy2,19.966071134621025
1a2y,8cge,18.48094918843136
1a2y,7wvg,23.103504778449505
1a2y,8dy0,19.77824058317647
1a2y,8dgr,17.69387622837691
1a2y,8dy4,16.617363378262695
1a2y,8dzv,20.406952577505255
1a2y,8dy1,19.061016539137697
1a2y,8ek5,25.92733275777046
1a2y,8dy5,21.60473070587545
1a2y,8ezk,19.990332007955452
1a2y,8ezl,16.961926970683233
1a2y,8gho,17.975453411063686
1a2y,8ezm,23.69621382888027
1a2y,8h3b,18.187023997533256
1a2y,8h73,19.57338243299054
1a2y,8gv7,23.111831335710317
1a2y,8hyl,20.704473148316044
1a2y,8ia6,20.355252209665586
1a2y,8i5l,16.776897578607837
1a2y,8iqs,19.11324462287633
1a2y,8iqr,24.192622482766527
1a2y,8iqq,22.60284954844875
1a2y,8iqp,18.74033319028719
1a2y,8jyq,18.19735604920374
1a2y,8pww,17.579884421679946
1a2y,8pmz,16.731862689170907
1a2y,8pwv,17.6381762570051
1a2y,8jow,17.683308713112964
1a2y,8r4u,18.777433716070362
1a2y,8rpe,20.400280275463547
1a2y,8r4o,25.702752072499095
1a2y,8r4q,25.458180471888408
1a2y,8vrr,1000.0
1a2y,8soz,23.669890099778883
1a2y,8sow,23.830947504689743
1a2y,8s4h,20.2624632146152
1a2y,8rz1,18.332616725820806
1a2y,8rz0,18.825244666027896
1a2y,8v8f,17.46634458643148
1a2y,8wfm,24.445932796605906
1a2y,8wsq,19.148268767857267
1a2y,8vrs,25.790191459076482
1a2y,8yj7,35.43301254040327
1a2y,8wfh,18.975125119020436
1a2y,8ytn,17.849256231644112
1a2y,8ytp,17.02227216044836
1a2y,9g6q,18.371734282940388
1a2y,8yto,17.412483335911915
1a2y,9cn2,17.289791084651238
1a2y,9hy2,16.54231218099617
1a2y,9h4s,17.45471740815419
1a2y,9d7y,15.516203094269994
1a2y,8zpu,17.47650947113854
1a2y,8zd5,21.656829481696033
1a2y,9hy3,16.532932443106674
