PDB1,PDB2,Frechet_Distance
1a14,1a6u,87.56371307373047
1a14,1a6w,71.63935852050781
1a14,1a2y,106.6504135131836
1a14,1a7n,91.07160186767578
1a14,1a7o,91.4350357055664
1a14,1a7p,90.90999603271484
1a14,1a7q,90.76557159423828
1a14,1a7r,90.9577865600586
1a14,1a6v,113.27465057373047
1a14,1bfv,73.78652954101562
1a14,1ap2,76.22930908203125
1a14,1bvl,67.10375213623047
1a14,1c08,67.33892059326172
1a14,1bvk,101.53072357177734
1a14,1cfv,73.86578369140625
1a14,1dl7,98.92626953125
1a14,1dlf,98.92558288574219
1a14,1ar1,114.76383972167969
1a14,1dql,105.98336029052734
1a14,1dsf,66.43138122558594
1a14,1fgv,125.53944396972656
1a14,1dvf,121.50672912597656
1a14,1dzb,104.91567993164062
1a14,1g7i,107.11995697021484
1a14,1g7h,106.79553985595703
1a14,1g7j,97.84930419921875
1a14,1g7l,97.79108428955078
1a14,1g7m,97.6814956665039
1a14,1h8n,80.41907501220703
1a14,1i3g,81.14252471923828
1a14,1h8o,65.91848754882812
1a14,1h8s,66.1975326538086
1a14,1i8i,89.94156646728516
1a14,1i8k,90.38352966308594
1a14,1ic4,66.94265747070312
1a14,1ic5,67.03942108154297
1a14,1ic7,67.0162353515625
1a14,1igm,78.37930297851562
1a14,1ezv,126.93443298339844
1a14,1j1o,67.62345886230469
1a14,1j1p,67.43563842773438
1a14,1j05,52.21174621582031
1a14,1j1x,67.55805206298828
1a14,1jv5,146.6249542236328
1a14,1jhl,123.12136840820312
1a14,1jp5,96.07502746582031
1a14,1kip,106.77654266357422
1a14,1kiq,106.58673858642578
1a14,1kir,106.7281723022461
1a14,1ktr,76.64319610595703
1a14,1mfa,101.8102798461914
1a14,1moe,108.5119400024414
1a14,1lmk,139.4067840576172
1a14,1mqk,96.25212097167969
1a14,1mvu,201.193603515625
1a14,1n4x,77.37847900390625
1a14,1kb9,126.85416412353516
1a14,1nma,100.09920501708984
1a14,1nmb,99.9324951171875
1a14,1nqb,121.53257751464844
1a14,1oaq,80.08805084228516
1a14,1nmc,146.86135864257812
1a14,1oau,64.7636947631836
1a14,1oar,64.97171783447266
1a14,1oax,64.89997100830078
1a14,1oay,64.79374694824219
1a14,1ocw,52.27823257446289
1a14,1oaz,73.9470443725586
1a14,1p4b,109.07747650146484
1a14,1p4i,96.72962951660156
1a14,1qok,97.65457153320312
1a14,1kyo,139.78701782226562
1a14,1svz,115.12059020996094
1a14,1ua6,66.52075958251953
1a14,1vfa,90.99215698242188
1a14,1uac,99.71748352050781
1a14,1qle,86.74149322509766
1a14,1vfb,106.65454864501953
1a14,1wz1,119.47684478759766
1a14,1wt5,86.90033721923828
1a14,1x9q,82.58356475830078
